claim_id,claim_type,claim_amount,policy_limit,premium,policy_age_days,prior_claims,report_delay_days,police_report
CLM-034495,Property,9069,18138,1248,312,0,2,yes
CLM-015249,Health,11586,23172,1464,366,0,2,yes
CLM-018025,Property,9069,18138,1236,309,0,2,yes
CLM-039424,Property,9069,18138,1104,276,0,2,yes
CLM-052477,Auto,7773,15546,1260,315,0,2,yes
CLM-006381,Auto,7517,15034,1152,288,0,2,yes
CLM-003401,Liability,10698,21396,12,3,0,2,yes
CLM-045005,Property,10444,20888,816,204,0,2,yes
CLM-022638,Health,11586,23172,336,84,0,2,yes
CLM-022508,Auto,7517,15034,1296,324,0,2,yes
CLM-012001,Health,11586,23172,1176,294,0,2,yes
CLM-018403,Liability,10698,21396,684,171,0,2,yes
CLM-035000,Property,9069,18138,1296,324,0,2,yes
CLM-008080,Property,9444,18888,768,192,0,2,yes
CLM-018955,Health,11586,23172,192,48,0,2,yes
CLM-037855,Liability,8251,16502,1392,348,0,2,yes
CLM-008638,Auto,7517,15034,456,114,0,2,yes
CLM-006185,Property,10444,20888,1248,312,0,2,yes
CLM-052055,Property,9069,18138,456,114,0,2,yes
CLM-009783,Auto,7773,15546,420,105,0,2,yes
CLM-001909,Property,9069,18138,1416,354,0,18,no
CLM-053776,Health,11586,23172,1236,309,0,2,yes
CLM-016795,Auto,7773,15546,1428,357,0,2,yes
CLM-007939,Auto,7517,15034,768,192,0,2,yes
CLM-051694,Health,11586,23172,0,0,0,2,yes
CLM-000852,Auto,7517,15034,1032,258,0,2,yes
CLM-037578,Auto,7517,15034,48,12,0,2,yes
CLM-003559,Auto,7517,15034,288,72,0,2,yes
CLM-003500,Property,8696,17392,1308,327,0,2,yes
CLM-056126,Auto,7517,15034,648,162,0,2,yes
CLM-008028,Property,9069,18138,1080,270,0,2,yes
CLM-031647,Health,11586,23172,1212,303,0,2,yes
CLM-016255,Auto,7517,15034,1044,261,0,18,no
CLM-012478,Property,9069,18138,792,198,0,2,yes
CLM-038982,Property,9069,18138,1236,309,0,18,no
CLM-048092,Auto,7517,15034,1032,258,0,18,no
CLM-018322,Property,9069,18138,108,27,0,2,yes
CLM-033786,Health,11586,23172,1476,369,0,2,yes
CLM-010579,Auto,7517,15034,156,39,0,2,yes
CLM-031250,Property,9069,18138,756,189,0,2,yes
CLM-007682,Health,11586,23172,288,72,0,2,yes
CLM-009444,Auto,7517,15034,48,12,0,2,yes
CLM-003734,Health,11586,23172,1224,306,0,2,yes
CLM-035196,Health,11586,23172,792,198,0,2,yes
CLM-041211,Property,8696,17392,696,174,0,2,yes
CLM-005979,Auto,7517,15034,648,162,0,2,yes
CLM-003619,Auto,9942,19884,660,165,0,18,no
CLM-055157,Auto,7517,15034,1344,336,0,2,yes
CLM-018417,Property,9069,18138,12,3,0,2,yes
CLM-053751,Liability,8251,16502,852,213,0,2,yes
CLM-017595,Property,9069,18138,36,9,0,2,yes
CLM-002411,Health,11586,23172,348,87,0,2,yes
CLM-036330,Auto,7517,15034,48,12,0,2,yes
CLM-009714,Property,9069,18138,1356,339,0,2,yes
CLM-054274,Property,9069,18138,1332,333,0,2,yes
CLM-032074,Auto,7517,15034,432,108,0,2,yes
CLM-009690,Property,9069,18138,48,12,0,2,yes
CLM-041520,Health,11586,23172,96,24,0,2,yes
CLM-031503,Property,9069,18138,1296,324,0,2,yes
CLM-002146,Auto,7517,15034,516,129,0,2,yes
CLM-049207,Property,9444,18888,1356,339,0,2,yes
CLM-019496,Property,9069,18138,1200,300,0,2,yes
CLM-035528,Property,9069,18138,108,27,0,2,yes
CLM-032100,Health,11586,23172,1212,303,0,2,yes
CLM-056044,Auto,9942,19884,204,51,0,2,yes
CLM-040300,Health,11586,23172,1476,369,0,2,yes
CLM-035756,Property,9069,18138,876,219,0,2,yes
CLM-006653,Health,11586,23172,264,66,0,2,yes
CLM-045257,Property,9444,18888,1068,267,0,2,yes
CLM-001657,Property,9444,18888,312,78,0,2,yes
CLM-024685,Auto,9942,19884,1212,303,0,2,yes
CLM-043323,Health,11586,23172,1368,342,0,2,yes
CLM-048214,Property,8696,17392,360,90,0,2,yes
CLM-014273,Health,11586,23172,96,24,0,2,yes
CLM-007581,Health,11586,23172,300,75,0,2,yes
CLM-002547,Auto,7517,15034,1044,261,0,2,yes
CLM-054198,Auto,7517,15034,192,48,0,2,yes
CLM-011585,Liability,8251,16502,720,180,0,2,yes
CLM-034108,Liability,8251,16502,1404,351,0,2,yes
CLM-013898,Property,9444,18888,108,27,0,2,yes
CLM-030535,Health,11586,23172,204,51,0,2,yes
CLM-025111,Property,9069,18138,1464,366,0,2,yes
CLM-054165,Liability,10698,21396,540,135,0,2,yes
CLM-042279,Property,9069,18138,1368,342,0,2,yes
CLM-052974,Property,8696,17392,1212,303,0,2,yes
CLM-047539,Property,9069,18138,1368,342,0,2,yes
CLM-004997,Auto,7517,15034,1500,375,0,2,yes
CLM-034433,Health,11586,23172,840,210,0,2,yes
CLM-046620,Property,9069,18138,1068,267,0,2,yes
CLM-048655,Liability,9069,18138,1272,318,0,2,yes
CLM-013747,Health,11586,23172,1044,261,0,2,yes
CLM-019335,Property,9069,18138,120,30,0,2,yes
CLM-008081,Property,8696,17392,132,33,0,2,yes
CLM-041982,Auto,7517,15034,96,24,0,2,yes
CLM-010184,Property,9069,18138,1164,291,0,18,no
CLM-041633,Health,11586,23172,1284,321,0,2,yes
CLM-011733,Property,8696,17392,984,246,0,2,yes
CLM-050668,Health,11586,23172,1392,348,0,2,yes
CLM-053188,Property,9069,18138,1284,321,0,2,yes
CLM-031197,Auto,7517,15034,168,42,0,2,yes
CLM-023567,Property,9069,18138,108,27,0,2,yes
CLM-001048,Property,9069,18138,1356,339,0,2,yes
CLM-054712,Auto,9942,19884,744,186,0,2,yes
CLM-000718,Health,11586,23172,1224,306,0,18,no
CLM-012776,Property,9069,18138,1236,309,0,2,yes
CLM-025633,Property,8696,17392,204,51,0,2,yes
CLM-016861,Health,11586,23172,12,3,0,2,yes
CLM-035578,Auto,7517,15034,480,120,0,2,yes
CLM-006585,Property,9069,18138,936,234,0,2,yes
CLM-000094,Property,9444,18888,48,12,0,2,yes
CLM-010721,Auto,7517,15034,864,216,0,2,yes
CLM-045408,Property,9069,18138,1104,276,0,2,yes
CLM-027490,Auto,7517,15034,804,201,0,2,yes
CLM-019788,Auto,7517,15034,192,48,0,2,yes
CLM-015734,Health,11586,23172,84,21,0,2,yes
CLM-026470,Health,11586,23172,672,168,0,2,yes
CLM-035895,Health,11586,23172,1476,369,0,2,yes
CLM-008967,Health,11586,23172,1380,345,0,2,yes
CLM-036854,Auto,7517,15034,48,12,0,2,yes
CLM-003536,Property,9069,18138,1500,375,0,2,yes
CLM-010743,Property,9069,18138,1452,363,0,2,yes
CLM-038091,Property,8696,17392,1380,345,0,2,yes
CLM-020624,Liability,9069,18138,1080,270,0,2,yes
CLM-048930,Liability,9069,18138,120,30,0,2,yes
CLM-051903,Auto,7517,15034,720,180,0,2,yes
CLM-042823,Health,11586,23172,252,63,0,2,yes
CLM-028809,Property,9069,18138,108,27,0,2,yes
CLM-057713,Auto,7517,15034,276,69,0,2,yes
CLM-011978,Property,9069,18138,924,231,0,2,yes
CLM-028898,Auto,7517,15034,48,12,0,2,yes
CLM-020582,Auto,7517,15034,696,174,0,2,yes
CLM-045739,Health,11586,23172,1284,321,0,18,no
CLM-018509,Property,8696,17392,1284,321,0,2,yes
CLM-010348,Auto,7517,15034,108,27,0,2,yes
CLM-028137,Property,9069,18138,648,162,0,2,yes
CLM-046732,Auto,7517,15034,948,237,0,18,no
CLM-033744,Auto,7517,15034,12,3,0,2,yes
CLM-032848,Auto,7517,15034,1044,261,0,2,yes
CLM-037281,Liability,8251,16502,1404,351,0,2,yes
CLM-035255,Auto,7517,15034,396,99,0,2,yes
CLM-011338,Property,9069,18138,1344,336,0,2,yes
CLM-015607,Property,9069,18138,1296,324,0,2,yes
CLM-029145,Property,9444,18888,1236,309,0,2,yes
CLM-050945,Auto,7517,15034,936,234,0,2,yes
CLM-044148,Property,9069,18138,1320,330,0,2,yes
CLM-057522,Health,11586,23172,648,162,0,2,yes
CLM-031648,Health,11586,23172,108,27,0,2,yes
CLM-002851,Auto,9942,19884,420,105,0,2,yes
CLM-052844,Auto,7517,15034,204,51,0,2,yes
CLM-029146,Auto,7517,15034,888,222,0,2,yes
CLM-010299,Health,11586,23172,156,39,0,2,yes
CLM-048178,Property,9069,18138,1428,357,0,2,yes
CLM-025305,Health,11586,23172,252,63,0,2,yes
CLM-039863,Auto,7773,15546,1416,354,0,2,yes
CLM-044885,Property,8696,17392,72,18,0,2,yes
CLM-017253,Property,9069,18138,432,108,0,2,yes
CLM-036624,Health,11586,23172,288,72,0,2,yes
CLM-047287,Property,9069,18138,876,219,0,2,yes
CLM-053996,Auto,7517,15034,1440,360,0,2,yes
CLM-010329,Auto,7773,15546,108,27,0,2,yes
CLM-015561,Property,8696,17392,1440,360,0,2,yes
CLM-036256,Auto,9942,19884,516,129,0,2,yes
CLM-032154,Health,11586,23172,108,27,0,2,yes
CLM-011376,Auto,7773,15546,600,150,0,2,yes
CLM-028407,Property,9069,18138,492,123,0,2,yes
CLM-004957,Liability,8251,16502,948,237,0,2,yes
CLM-028192,Property,9069,18138,1212,303,0,2,yes
CLM-042186,Property,9069,18138,60,15,0,2,yes
CLM-010117,Health,11586,23172,108,27,0,2,yes
CLM-013320,Property,9069,18138,120,30,0,2,yes
CLM-045396,Property,9069,18138,972,243,0,18,no
CLM-051984,Property,8696,17392,12,3,0,2,yes
CLM-040286,Auto,7517,15034,792,198,0,2,yes
CLM-037543,Property,8696,17392,1392,348,0,2,yes
CLM-041255,Property,8696,17392,132,33,0,2,yes
CLM-009024,Auto,7517,15034,756,189,0,2,yes
CLM-044271,Property,9069,18138,276,69,0,18,no
CLM-043300,Auto,7517,15034,900,225,0,2,yes
CLM-039696,Health,11586,23172,108,27,0,2,yes
CLM-018920,Health,11586,23172,456,114,0,2,yes
CLM-009327,Property,9444,18888,108,27,0,2,yes
CLM-030206,Health,11586,23172,600,150,0,2,yes
CLM-045304,Property,8696,17392,360,90,0,2,yes
CLM-025163,Auto,7517,15034,36,9,0,2,yes
CLM-026051,Liability,8251,16502,312,78,0,2,yes
CLM-025987,Auto,9942,19884,336,84,0,2,yes
CLM-054865,Auto,7517,15034,144,36,0,2,yes
CLM-001838,Property,9069,18138,480,120,0,2,yes
CLM-039161,Auto,7517,15034,60,15,0,2,yes
CLM-047763,Auto,7517,15034,240,60,0,2,yes
CLM-033907,Auto,9942,19884,1416,354,0,2,yes
CLM-012894,Property,9444,18888,372,93,0,2,yes
CLM-001775,Property,9444,18888,1320,330,0,2,yes
CLM-042994,Property,9069,18138,672,168,0,18,no
CLM-015898,Health,11586,23172,444,111,0,2,yes
CLM-012956,Auto,7517,15034,204,51,0,2,yes
CLM-023160,Property,9069,18138,96,24,0,2,yes
CLM-048575,Health,11586,23172,168,42,0,2,yes
CLM-029767,Auto,9942,19884,1404,351,0,2,yes
CLM-007147,Auto,7517,15034,24,6,0,2,yes
CLM-029743,Auto,7517,15034,792,198,0,2,yes
CLM-040443,Auto,7773,15546,300,75,0,2,yes
CLM-034346,Health,11586,23172,1476,369,0,18,no
CLM-005568,Auto,7517,15034,864,216,0,2,yes
CLM-056187,Property,9069,18138,1392,348,0,2,yes
CLM-047292,Property,9444,18888,720,180,0,2,yes
CLM-021930,Property,9069,18138,1476,369,0,2,yes
CLM-011055,Auto,7517,15034,504,126,0,2,yes
CLM-002515,Auto,7773,15546,108,27,0,2,yes
CLM-051555,Liability,8251,16502,36,9,0,2,yes
CLM-031549,Health,11586,23172,456,114,0,2,yes
CLM-033280,Auto,7517,15034,360,90,0,2,yes
CLM-013249,Property,9069,18138,120,30,0,2,yes
CLM-004305,Property,8696,17392,1320,330,0,2,yes
CLM-025810,Property,9069,18138,1404,351,0,2,yes
CLM-030007,Property,9069,18138,12,3,0,2,yes
CLM-058303,Property,9069,18138,1464,366,0,18,no
CLM-000273,Property,9069,18138,60,15,0,2,yes
CLM-029033,Property,8696,17392,1488,372,0,2,yes
CLM-033295,Property,9444,18888,1404,351,0,2,yes
CLM-026030,Health,11586,23172,96,24,0,2,yes
CLM-029634,Health,11586,23172,420,105,0,2,yes
CLM-047904,Auto,7517,15034,1152,288,0,2,yes
CLM-038258,Auto,7517,15034,48,12,0,2,yes
CLM-019023,Auto,9942,19884,96,24,0,2,yes
CLM-004553,Auto,7517,15034,96,24,0,2,yes
CLM-002820,Liability,8251,16502,456,114,0,2,yes
CLM-026147,Health,11586,23172,1320,330,0,2,yes
CLM-016862,Health,11586,23172,300,75,0,2,yes
CLM-032364,Property,9069,18138,1464,366,0,2,yes
CLM-000973,Property,9069,18138,12,3,0,2,yes
CLM-037692,Property,8696,17392,336,84,0,2,yes
CLM-008957,Auto,7517,15034,120,30,0,18,no
CLM-004142,Property,9069,18138,1200,300,0,2,yes
CLM-056563,Property,10444,20888,960,240,0,2,yes
CLM-051047,Property,9069,18138,708,177,0,2,yes
CLM-004456,Auto,7773,15546,1260,315,0,2,yes
CLM-010586,Property,9069,18138,180,45,0,2,yes
CLM-001142,Health,11586,23172,204,51,0,2,yes
CLM-041362,Auto,7517,15034,60,15,0,2,yes
CLM-044474,Liability,9069,18138,1272,318,0,2,yes
CLM-043861,Auto,7517,15034,600,150,0,2,yes
CLM-028691,Liability,8251,16502,1380,345,0,2,yes
CLM-038123,Property,9069,18138,1212,303,0,2,yes
CLM-020272,Auto,7517,15034,36,9,0,2,yes
CLM-055713,Auto,7517,15034,468,117,0,2,yes
CLM-030333,Health,11586,23172,432,108,0,2,yes
CLM-030187,Auto,7517,15034,576,144,0,2,yes
CLM-001703,Auto,7517,15034,540,135,0,2,yes
CLM-006441,Auto,7517,15034,384,96,0,2,yes
CLM-036472,Auto,7517,15034,108,27,0,2,yes
CLM-029197,Health,11586,23172,636,159,0,2,yes
CLM-019180,Health,11586,23172,132,33,0,2,yes
CLM-003402,Property,9444,18888,1008,252,0,2,yes
CLM-047031,Property,9069,18138,1044,261,0,2,yes
CLM-019631,Health,11586,23172,876,219,0,18,no
CLM-001010,Property,9069,18138,576,144,0,2,yes
CLM-005407,Auto,7773,15546,108,27,0,2,yes
CLM-028131,Health,11586,23172,192,48,0,2,yes
CLM-028999,Health,11586,23172,12,3,0,2,yes
CLM-017783,Auto,7517,15034,336,84,0,2,yes
CLM-050407,Property,9444,18888,1260,315,0,18,no
CLM-035399,Property,9444,18888,1284,321,0,2,yes
CLM-034507,Property,9444,18888,216,54,0,2,yes
CLM-003953,Property,9069,18138,1344,336,0,2,yes
CLM-034317,Property,9444,18888,1296,324,0,2,yes
CLM-038248,Property,9069,18138,624,156,0,2,yes
CLM-008453,Auto,7517,15034,144,36,0,2,yes
CLM-032888,Auto,7517,15034,1032,258,0,2,yes
CLM-030944,Health,11586,23172,1332,333,0,2,yes
CLM-018599,Health,11586,23172,852,213,0,2,yes
CLM-057118,Health,11586,23172,960,240,0,2,yes
CLM-019732,Property,8696,17392,1128,282,0,2,yes
CLM-023002,Health,11586,23172,444,111,0,2,yes
CLM-029032,Health,11586,23172,36,9,0,2,yes
CLM-008972,Auto,7773,15546,1284,321,0,2,yes
CLM-011504,Auto,7517,15034,60,15,0,2,yes
CLM-037909,Health,11586,23172,36,9,0,2,yes
CLM-014886,Auto,7517,15034,1284,321,0,2,yes
CLM-003614,Auto,7517,15034,24,6,0,2,yes
CLM-013163,Property,8696,17392,168,42,0,2,yes
CLM-053487,Property,9069,18138,960,240,0,18,no
CLM-003908,Liability,8251,16502,1008,252,0,2,yes
CLM-050456,Health,11586,23172,588,147,0,2,yes
CLM-042373,Liability,8251,16502,1164,291,0,2,yes
CLM-036778,Liability,8251,16502,72,18,0,2,yes
CLM-004253,Auto,7517,15034,732,183,0,2,yes
CLM-023415,Auto,7517,15034,1368,342,0,2,yes
CLM-020812,Health,11586,23172,960,240,0,18,no
CLM-050480,Health,11586,23172,1260,315,0,2,yes
CLM-037430,Property,10444,20888,108,27,0,2,yes
CLM-002905,Auto,7517,15034,600,150,0,2,yes
CLM-036802,Auto,7517,15034,900,225,0,2,yes
CLM-035560,Health,11586,23172,1356,339,0,2,yes
CLM-005904,Property,9069,18138,1248,312,0,2,yes
CLM-039312,Liability,8251,16502,348,87,0,2,yes
CLM-053225,Property,9069,18138,1188,297,0,2,yes
CLM-052246,Property,8696,17392,948,237,0,2,yes
CLM-013828,Property,9069,18138,1224,306,0,2,yes
CLM-049200,Auto,7517,15034,636,159,0,2,yes
CLM-048279,Health,11586,23172,360,90,0,2,yes
CLM-040448,Health,11586,23172,1056,264,0,2,yes
CLM-003371,Auto,9942,19884,1368,342,0,2,yes
CLM-038088,Property,9069,18138,108,27,0,2,yes
CLM-046335,Health,11586,23172,24,6,0,2,yes
CLM-041560,Health,11586,23172,1308,327,0,2,yes
CLM-001499,Property,9069,18138,1476,369,0,2,yes
CLM-016503,Liability,8251,16502,1224,306,0,2,yes
CLM-002731,Health,11586,23172,684,171,0,2,yes
CLM-013140,Property,9069,18138,1212,303,0,2,yes
CLM-051019,Liability,9069,18138,1344,336,0,2,yes
CLM-049867,Auto,7517,15034,684,171,0,2,yes
CLM-001200,Property,9444,18888,648,162,0,2,yes
CLM-023033,Auto,7517,15034,936,234,0,2,yes
CLM-045715,Property,9069,18138,300,75,0,2,yes
CLM-018993,Property,9069,18138,660,165,0,2,yes
CLM-030028,Auto,7517,15034,564,141,0,2,yes
CLM-058386,Health,11586,23172,612,153,0,2,yes
CLM-048134,Auto,7517,15034,1080,270,0,2,yes
CLM-014435,Health,11586,23172,780,195,0,2,yes
CLM-049468,Property,9444,18888,1236,309,0,18,no
CLM-051146,Liability,8251,16502,108,27,0,2,yes
CLM-033389,Property,9069,18138,1212,303,0,2,yes
CLM-042816,Property,9069,18138,1452,363,0,2,yes
CLM-052414,Property,9444,18888,1272,318,0,2,yes
CLM-052071,Health,11586,23172,1428,357,0,2,yes
CLM-027909,Auto,7773,15546,1404,351,0,2,yes
CLM-021973,Property,10444,20888,84,21,0,2,yes
CLM-023554,Auto,7517,15034,12,3,0,2,yes
CLM-034025,Property,8696,17392,972,243,0,18,no
CLM-005162,Auto,9942,19884,1248,312,0,2,yes
CLM-007383,Health,11586,23172,108,27,0,2,yes
CLM-055255,Health,11586,23172,1236,309,0,18,no
CLM-026569,Health,11586,23172,672,168,0,2,yes
CLM-027477,Property,9069,18138,1200,300,0,2,yes
CLM-040452,Health,11586,23172,936,234,0,2,yes
CLM-024280,Property,8696,17392,1044,261,0,2,yes
CLM-001511,Property,9069,18138,444,111,0,2,yes
CLM-009920,Property,9444,18888,852,213,0,2,yes
CLM-019709,Property,9069,18138,684,171,0,18,no
CLM-017351,Property,8696,17392,264,66,0,18,no
CLM-040352,Auto,7517,15034,60,15,0,2,yes
CLM-042230,Property,10444,20888,180,45,0,2,yes
CLM-009484,Auto,7517,15034,1152,288,0,2,yes
CLM-029884,Health,11586,23172,1476,369,0,2,yes
CLM-012758,Auto,7517,15034,72,18,0,2,yes
CLM-006320,Health,11586,23172,96,24,0,2,yes
CLM-043099,Property,9069,18138,624,156,0,2,yes
CLM-053166,Property,8696,17392,1188,297,0,2,yes
CLM-006440,Health,11586,23172,1452,363,0,2,yes
CLM-040171,Health,11586,23172,1368,342,0,2,yes
CLM-052387,Auto,7517,15034,408,102,0,2,yes
CLM-017053,Property,9444,18888,180,45,0,2,yes
CLM-024343,Auto,7517,15034,720,180,0,2,yes
CLM-002850,Liability,10698,21396,228,57,0,2,yes
CLM-005199,Health,11586,23172,1212,303,0,2,yes
CLM-043819,Property,9069,18138,660,165,0,2,yes
CLM-023173,Health,11586,23172,1308,327,0,2,yes
CLM-032203,Liability,8251,16502,120,30,0,2,yes
CLM-038795,Property,10444,20888,1212,303,0,2,yes
CLM-004693,Auto,7517,15034,1068,267,0,2,yes
CLM-016576,Property,9069,18138,84,21,0,2,yes
CLM-043015,Property,9069,18138,84,21,0,2,yes
CLM-002976,Property,8696,17392,804,201,0,2,yes
CLM-056099,Auto,7517,15034,948,237,0,2,yes
CLM-008269,Property,8696,17392,1308,327,0,2,yes
CLM-043882,Health,11586,23172,540,135,0,2,yes
CLM-039622,Property,9069,18138,96,24,0,2,yes
CLM-013907,Property,9069,18138,1284,321,0,2,yes
CLM-017914,Health,11586,23172,1428,357,0,2,yes
CLM-023547,Property,9069,18138,480,120,0,2,yes
CLM-043969,Auto,7517,15034,1176,294,0,2,yes
CLM-021367,Property,8696,17392,792,198,0,2,yes
CLM-017444,Auto,7773,15546,1332,333,0,2,yes
CLM-013268,Auto,7773,15546,672,168,0,2,yes
CLM-040065,Property,9069,18138,348,87,0,2,yes
CLM-009971,Property,9069,18138,1212,303,0,18,no
